,CO,AB,FACID,DIS,FNAME,FSTREET,FCITY,FZIP,FSIC,COID,DISN,CHAPIS,CERR_CODE,TOGT,ROGT,COT,NOXT,SOXT,PMT,PM10T,PM2.5T,lat,lon
438,1,SF,22532,BA,D&H MANUFACTURING,40969 ENCYCLOPEDIA CIR,FREMONT,94538,3599,ALA,BAY AREA AQMD,,,4.30685,4.30685,,,,0.01342811,0.008499995,0.006364925,37.5174125828994,-121.989360711734
439,1,SF,7915,BA,"DAN'S WIRE MFG, INC",2156 PRUNE AVENUE,FREMONT,94539,3357,ALA,BAY AREA AQMD,,,0.006970986,0.00525194,0.03166664,0.12687555,0.000514129,0.004452038,0.003814282,0.003537979,37.50594,-121.93659
440,1,SF,2773,BA,DAVIS STREET SMART,2615 DAVIS STREET,SAN LEANDRO,94577,4953,ALA,BAY AREA AQMD,,,3.4709358,3.4709358,,,,23.03895621,22.10603664,21.2889678,37.71204,-122.19372
441,1,SF,20613,BA,DAVLIN COATINGS LLC,700 ALLSTON WAY,BERKELEY,94710,2851,ALA,BAY AREA AQMD,,,0.149860564,0.149860564,,,,0.05820001,0.05238001,0.05179801,37.8643,-122.29957
442,1,SF,13284,BA,DBA MANHEIM SAN FRANCISCO BAY,967 W INDUSTRIAL PKWY,HAYWARD,94545,5999,ALA,BAY AREA AQMD,,,0.001013315,0.000986553,0.0030599990000000003,0.01407535,6.525e-06,0.001047794,0.001005882,0.000981783,37.62144,-122.05863
443,1,SF,20427,BA,DCT BAYSIDE  INDUSTRIAL,3525 ARDEN ROAD,HAYWARD,94545,6531,ALA,BAY AREA AQMD,,,0.000120315,0.000102474,0.000904179,0.001950567,4.35e-06,0.00015765200000000001,0.000151346,0.00014772,37.62376,-122.11414
444,1,SF,13243,BA,DELPHON HOLDCO LLC,31398 HUNTWOOD AVE,HAYWARD,94544,4783,ALA,BAY AREA AQMD,,,3.557344,3.557344,,,,,,,37.60641,-122.05407
445,1,SF,21014,BA,DELPHON HOLDCO LLC,1881 WHIPPLE AVENUE,HAYWARD,94544,2759,ALA,BAY AREA AQMD,,,0.44904978100000004,0.44904968100000003,,,,,,,37.6060984065215,-122.0541367364
446,1,SF,22547,BA,DELTA AMERICAS,46101 FREMONT BLVD,FREMONT,94538,3577,ALA,BAY AREA AQMD,,,0.01260137,0.0030788720000000003,0.008796697,0.004398832,7.928e-06,4.398e-06,4.398e-06,4.398e-06,37.488935,-121.948958
447,1,SF,15741,BA,DELUXE MARBLE,"37444 SYCAMORE ST, STE 11",NEWARK,94560,1743,ALA,BAY AREA AQMD,,,5.759275637000001,5.75918507584,0.0010000010000000001,0.004006603,1.6236e-05,8.5714e-05,8.5714e-05,8.5714e-05,37.52715,-122.03231
448,1,SF,20537,BA,DEPARTMENT OF TRANSPORTATION,"TOLL OPERATIONS BLDG, SF OAKLAND BAY BRIDG",OAKLAND,94608,4911,ALA,BAY AREA AQMD,,,0.01864946,0.016979499999999998,0.04170402,0.3229445,0.00040716,0.008131099000000001,0.007805856,0.00761884,37.8430595397949,-122.288665771484
