Observation Date,Confirmed,Day,Total per Day
02/04/2020,2,,
02/04/2020,1,,
02/04/2020,1,,
02/04/2020,1,,
02/04/2020,1,,
02/04/2020,1,,
02/04/2020,1,,
02/04/2020,1,,
02/04/2020,1,,
02/04/2020,1,,
02/04/2020,1,,
02/04/2020,1,,
02/04/2020,1,,
02/04/2020,1,,
02/04/2020,1,,
02/04/2020,1,,
02/05/2020,19665,,
02/05/2020,895,,
02/05/2020,895,,
02/05/2020,764,,
02/05/2020,661,,
02/05/2020,548,,
02/05/2020,530,,
02/05/2020,389,,
02/05/2020,341,,
02/05/2020,307,,
02/05/2020,301,,
02/05/2020,253,,
02/05/2020,243,,
02/05/2020,205,,
02/05/2020,190,,
02/05/2020,165,,
02/05/2020,150,,
02/05/2020,135,,
02/05/2020,128,,
02/05/2020,99,,
02/05/2020,89,,
02/05/2020,81,,
02/05/2020,69,,
02/05/2020,64,,
02/05/2020,62,,
02/05/2020,54,,
02/05/2020,42,,
02/05/2020,34,,
02/05/2020,32,,
02/05/2020,28,,
02/05/2020,25,,
02/05/2020,22,,
02/05/2020,21,,
02/05/2020,19,,
02/05/2020,17,,
02/05/2020,12,,
02/05/2020,12,,
02/05/2020,11,,
02/05/2020,10,,
02/05/2020,8,,
02/05/2020,6,,
02/05/2020,5,,
02/05/2020,4,,
02/05/2020,4,,
02/05/2020,3,,
02/05/2020,3,,
02/05/2020,2,,
02/05/2020,2,,
02/05/2020,2,,
02/05/2020,2,,
02/05/2020,2,,
02/05/2020,2,,
02/05/2020,2,,
02/05/2020,2,,
02/05/2020,2,,
02/05/2020,2,,
02/05/2020,1,,
02/05/2020,1,,
02/05/2020,1,,
02/05/2020,1,,
02/05/2020,1,,
02/05/2020,1,,
02/05/2020,1,,
02/05/2020,1,,
02/05/2020,1,,
02/05/2020,1,,
02/05/2020,1,,
02/05/2020,1,,
02/05/2020,1,,
02/05/2020,1,,
02/05/2020,1,,
02/06/2020,22112,,
02/06/2020,970,,
02/06/2020,954,,
02/06/2020,851,,
02/06/2020,711,,
02/06/2020,600,,
02/06/2020,591,,
02/06/2020,411,,
02/06/2020,373,,
02/06/2020,347,,
02/06/2020,321,,
02/06/2020,274,,
02/06/2020,257,,
02/06/2020,227,,
02/06/2020,215,,
02/06/2020,173,,
02/06/2020,168,,
02/06/2020,157,,
02/06/2020,133,,
02/06/2020,106,,
02/06/2020,96,,
02/06/2020,94,,
02/06/2020,79,,
02/06/2020,71,,
02/06/2020,62,,
02/06/2020,59,,
02/06/2020,46,,
02/06/2020,45,,
02/06/2020,40,,
02/06/2020,36,,
02/06/2020,28,,
02/06/2020,25,,
02/06/2020,24,,
02/06/2020,23,,
02/06/2020,18,,
02/06/2020,16,,
02/06/2020,12,,
02/06/2020,12,,
02/06/2020,10,,
02/06/2020,10,,
02/06/2020,6,,
02/06/2020,5,,
02/06/2020,4,,
02/06/2020,4,,
02/06/2020,4,,
02/06/2020,3,,
02/06/2020,2,,
02/06/2020,2,,
02/06/2020,2,,
02/06/2020,2,,
02/06/2020,2,,
02/06/2020,2,,
02/06/2020,2,,
02/06/2020,2,,
02/06/2020,2,,
02/06/2020,2,,
02/06/2020,1,,
02/06/2020,1,,
02/06/2020,1,,
02/06/2020,1,,
02/06/2020,1,,
02/06/2020,1,,
02/06/2020,1,,
02/06/2020,1,,
02/06/2020,1,,
02/06/2020,1,,
02/06/2020,1,,
02/06/2020,1,,
02/06/2020,1,,
02/06/2020,1,,
02/06/2020,1,,
02/07/2020,24953,,
02/07/2020,1034,,
02/07/2020,1006,,
02/07/2020,914,,
02/07/2020,772,,
02/07/2020,665,,
02/07/2020,661,,
02/07/2020,426,,
02/07/2020,408,,
02/07/2020,386,,
02/07/2020,344,,
02/07/2020,297,,
02/07/2020,277,,
02/07/2020,277,,
02/07/2020,224,,
02/07/2020,184,,
02/07/2020,172,,
02/07/2020,172,,
02/07/2020,138,,
02/07/2020,117,,
02/07/2020,104,,
02/07/2020,99,,
02/07/2020,81,,
02/07/2020,81,,
02/07/2020,67,,
02/07/2020,65,,
02/07/2020,61,,
02/07/2020,50,,
02/07/2020,43,,
02/07/2020,39,,
02/07/2020,30,,
02/07/2020,25,,
02/07/2020,25,,
02/07/2020,25,,
02/07/2020,24,,
02/07/2020,18,,
02/07/2020,16,,
02/07/2020,13,,
02/07/2020,12,,
02/07/2020,10,,
02/07/2020,10,,
02/07/2020,6,,
02/07/2020,5,,
02/07/2020,5,,
02/07/2020,4,,
02/07/2020,4,,
02/07/2020,4,,
02/07/2020,3,,
02/07/2020,3,,
02/07/2020,3,,
02/07/2020,3,,
02/07/2020,2,,
02/07/2020,2,,
02/07/2020,2,,
02/07/2020,2,,
02/07/2020,2,,
02/07/2020,2,,
02/07/2020,1,,
02/07/2020,1,,
02/07/2020,1,,
02/07/2020,1,,
02/07/2020,1,,
02/07/2020,1,,
02/07/2020,1,,
02/07/2020,1,,
02/07/2020,1,,
02/07/2020,1,,
02/07/2020,1,,
02/07/2020,1,,
02/07/2020,1,,
02/07/2020,1,,
02/07/2020,1,,
02/08/2020,27100,,
02/08/2020,1095,,
02/08/2020,1048,,
02/08/2020,981,,
02/08/2020,803,,
02/08/2020,733,,
02/08/2020,698,,
02/08/2020,439,,
02/08/2020,428,,
02/08/2020,416,,
02/08/2020,364,,
02/08/2020,315,,
02/08/2020,295,,
02/08/2020,286,,
02/08/2020,239,,
02/08/2020,195,,
02/08/2020,195,,
02/08/2020,183,,
02/08/2020,138,,
02/08/2020,124,,
02/08/2020,115,,
02/08/2020,105,,
02/08/2020,89,,
02/08/2020,88,,
02/08/2020,79,,
02/08/2020,69,,
02/08/2020,61,,
02/08/2020,52,,
02/08/2020,45,,
02/08/2020,42,,
02/08/2020,33,,
02/08/2020,32,,
02/08/2020,26,,
02/08/2020,25,,
02/08/2020,24,,
02/08/2020,18,,
02/08/2020,17,,
02/08/2020,16,,
02/08/2020,13,,
02/08/2020,13,,
02/08/2020,11,,
02/08/2020,10,,
02/08/2020,7,,
02/08/2020,5,,
02/08/2020,4,,
02/08/2020,4,,
02/08/2020,4,,
02/08/2020,3,,
02/08/2020,3,,
02/08/2020,3,,
02/08/2020,3,,
02/08/2020,2,,
02/08/2020,2,,
02/08/2020,2,,
02/08/2020,2,,
02/08/2020,2,,
02/08/2020,2,,
02/08/2020,1,,
02/08/2020,1,,
02/08/2020,1,,
02/08/2020,1,,
02/08/2020,1,,
02/08/2020,1,,
02/08/2020,1,,
02/08/2020,1,,
02/08/2020,1,,
02/08/2020,1,,
02/08/2020,1,,
02/08/2020,1,,
02/08/2020,1,,
02/08/2020,1,,
02/08/2020,1,,
02/09/2020,29631,,
02/09/2020,1131,,
02/09/2020,1075,,
02/09/2020,1033,,
02/09/2020,838,,
02/09/2020,779,,
02/09/2020,740,,
02/09/2020,468,,
02/09/2020,468,,
02/09/2020,444,,
02/09/2020,386,,
02/09/2020,326,,
02/09/2020,307,,
02/09/2020,293,,
02/09/2020,250,,
02/09/2020,208,,
02/09/2020,206,,
02/09/2020,195,,
02/09/2020,141,,
02/09/2020,131,,
02/09/2020,119,,
02/09/2020,107,,
02/09/2020,99,,
02/09/2020,91,,
02/09/2020,83,,
02/09/2020,78,,
02/09/2020,64,,
02/09/2020,54,,
02/09/2020,45,,
02/09/2020,45,,
02/09/2020,40,,
02/09/2020,32,,
02/09/2020,29,,
02/09/2020,26,,
02/09/2020,25,,
02/09/2020,18,,
02/09/2020,18,,
02/09/2020,16,,
02/09/2020,14,,
02/09/2020,13,,
02/09/2020,11,,
02/09/2020,10,,
